ICD-10-CM Diagnosis Code & Name	Uniqe Patient Count
T84.226A Displacement of internal fixation device of vertebrae, init	27
T84.228A Displacement of internal fixation device of oth bones, init	5
T84.290A Mech compl of int fix of bones of hand and fingers, init	1
T84.293A Mech compl of int fix of bones of foot and toes, init	21
T84.293D Mech compl of int fix of bones of foot and toes, subs	1
T84.296A Mech compl of internal fixation device of vertebrae, init	15
T84.298A Mech compl of internal fixation device of oth bones, init	10
T84.298D Mech compl of internal fixation device of oth bones, subs	1
T84.318A Breakdown of bone devices, implants and grafts, init	20
T84.318D Breakdown of bone devices, implants and grafts, subs	2
T84.328A Displacement of oth bone devices, implants and grafts, init	9
T84.328D Displacement of oth bone devices, implants and grafts, subs	1
T84.328S Displacement of bone devices, implants and grafts, sequela	1
T84.398A Mech compl of oth bone devices, implants and grafts, init	10
T84.398D Mech compl of oth bone devices, implants and grafts, subs	3
T84.398S Mech compl of oth bone devices, implants and grafts, sequela	1
T84.410A Breakdown (mechanical) of muscle and tendon graft, init	7
T84.418A Brkdwn internal orth devices, implants and grafts, init	20
T84.418D Brkdwn internal orth devices, implants and grafts, subs	1
T84.420A Displacement of muscle and tendon graft, initial encounter	2
T84.428A Displacmnt of internal orth devices, implnt and grafts, init	15
T84.428D Displacmnt of internal orth devices, implnt and grafts, subs	2
T84.490A Mech compl of muscle and tendon graft, initial encounter	7
T84.490D Mech compl of muscle and tendon graft, subsequent encounter	3
T84.490S Mech compl of muscle and tendon graft, sequela	1
T84.498A Mech compl of internal orth devices, implnt and grafts, init	48
T84.498D Mech compl of internal orth devices, implnt and grafts, subs	9
T84.498S Mech compl of int orth devices, implnt and grafts, sequela	4
T84.50XA Infect/inflm reaction due to unsp int joint prosth, init	46
T84.50XD Infect/inflm reaction due to unsp int joint prosth, subs	64
T84.50XS Infect/inflm reaction due to unsp int joint prosth, sequela	10
T84.51XA Infect/inflm reaction due to internal right hip prosth, init	42
T84.51XD Infect/inflm reaction due to internal right hip prosth, subs	36
T84.51XS Infect/inflm reaction due to internal r hip prosth, sequela	6
T84.52XA Infect/inflm reaction due to internal left hip prosth, init	51
T84.52XD Infect/inflm reaction due to internal left hip prosth, subs	46
T84.52XS Infect/inflm reaction due to int left hip prosth, sequela	6
T84.53XA Infect/inflm reaction due to internal r knee prosth, init	89
T84.53XD Infect/inflm reaction due to internal r knee prosth, subs	84
T84.53XS Infect/inflm reaction due to internal r knee prosth, sequela	9
T84.54XA Infect/inflm reaction due to internal left knee prosth, init	75
T84.54XD Infect/inflm reaction due to internal left knee prosth, subs	66
T84.54XS Infect/inflm reaction due to internal l knee prosth, sequela	8
T84.59XA Infect/inflm reaction due to oth internal joint prosth, init	120
T84.59XD Infect/inflm reaction due to oth internal joint prosth, subs	191
T84.59XS Infect/inflm reaction due to oth int joint prosth, sequela	41
T84.60XA Infect/inflm reaction due to int fix of unsp site, init	4
T84.60XD Infect/inflm reaction due to int fix of unsp site, subs	4
T84.60XS Infect/inflm reaction due to int fix of unsp site, sequela	2
T84.611A Infect/inflm reaction due to int fix of left humerus, init	1
T84.612A Infect/inflm reaction due to int fix of right radius, init	1
T84.613A Infect/inflm reaction due to int fix of left radius, init	2
T84.614A Infect/inflm reaction due to int fix of right ulna, init	4
T84.614D Infect/inflm reaction due to int fix of right ulna, subs	1
T84.615A Infect/inflm reaction due to int fix of left ulna, init	3
T84.619A Infect/inflm react due to int fix of unsp bone of arm, init	1
T84.619D Infect/inflm react due to int fix of unsp bone of arm, subs	1
T84.620A Infect/inflm reaction due to int fix of right femur, init	7
T84.620D Infect/inflm reaction due to int fix of right femur, subs	1
T84.621A Infect/inflm reaction due to int fix of left femur, init	5
T84.621D Infect/inflm reaction due to int fix of left femur, subs	3
T84.621S Infect/inflm reaction due to int fix of left femur, sequela	1
T84.622A Infect/inflm reaction due to int fix of right tibia, init	9
T84.622D Infect/inflm reaction due to int fix of right tibia, subs	3
T84.622S Infect/inflm reaction due to int fix of right tibia, sequela	1
T84.623A Infect/inflm reaction due to int fix of left tibia, init	7
T84.623D Infect/inflm reaction due to int fix of left tibia, subs	3
T84.624A Infect/inflm reaction due to int fix of right fibula, init	2
T84.624D Infect/inflm reaction due to int fix of right fibula, subs	1
T84.625A Infect/inflm reaction due to int fix of left fibula, init	4
T84.625D Infect/inflm reaction due to int fix of left fibula, subs	2
T84.629A Infect/inflm react due to int fix of unsp bone of leg, init	9
T84.629D Infect/inflm react due to int fix of unsp bone of leg, subs	2
T84.63XA Infect/inflm reaction due to int fix of spine, init	11
T84.63XS Infect/inflm reaction due to int fix of spine, sequela	1
T84.69XA Infect/inflm reaction due to int fix of site, init	15
T84.69XD Infect/inflm reaction due to int fix of site, subs	4
T84.69XS Infect/inflm reaction due to int fix of site, sequela	1
T84.7XXA Infect/inflm react due to oth int orth prosth dev/grft, init	61
T84.7XXD Infect/inflm react due to oth int orth prosth dev/grft, subs	55
T84.7XXS Infect/inflm react due to oth int orth prosth dev/grft, sqla	13
T84.81XA Embolism due to internal orthopedic prosth dev/grft, init	2
T84.82XA Fibrosis due to internal orthopedic prosth dev/grft, init	22
T84.82XD Fibrosis due to internal orthopedic prosth dev/grft, subs	5
T84.83XA Hemorrhage due to internal orthopedic prosth dev/grft, init	4
T84.83XD Hemorrhage due to internal orthopedic prosth dev/grft, subs	2
T84.84XA Pain due to internal orthopedic prosth dev/grft, init	1,325
T84.84XD Pain due to internal orthopedic prosth dev/grft, subs	390
T84.84XS Pain due to internal orthopedic prosth dev/grft, sequela	108
T84.85XA Stenosis due to internal orthopedic prosth dev/grft, init	1
T84.86XA Thrombosis due to internal orthopedic prosth dev/grft, init	1
T84.89XA Oth comp of internal orthopedic prosth dev/grft, init	282
T84.89XD Oth comp of internal orthopedic prosth dev/grft, subs	79
T84.89XS Oth comp of internal orthopedic prosth dev/grft, sequela	43
T84.9XXA Unsp comp of internal orthopedic prosth dev/grft, init	160
T84.9XXD Unsp comp of internal orthopedic prosth dev/grft, subs	15
T84.9XXS Unsp comp of internal orthopedic prosth dev/grft, sequela	12
T85.01XA Breakdown of ventricular intracranial shunt, init	33
T85.01XD Breakdown of ventricular intracranial shunt, subs	1
T85.01XS Breakdown of ventricular intracranial shunt, sequela	1
T85.02XA Displacement of ventricular intracranial shunt, init	12
T85.03XA Leakage of ventricular intracranial shunt, init	4
T85.09XA Mech compl of ventricular intracranial shunt, init	42
T85.09XD Mech compl of ventricular intracranial shunt, subs	6
T85.110A Breakdown of implnt elec nstim of brain lead, init	3
T85.111A Breakdown of implnt elec nstim of prph nrv lead, init	13
T85.112A Breakdown of implnt elec nstim of spinal cord lead, init	1
T85.112D Breakdown of implnt elec nstim of spinal cord lead, subs	1
T85.113A Breakdown (mechanical) of implnt elec nstim, generator, init	19
T85.118A Brkdwn implanted electronic stimulator of nervous sys, init	1
T85.120A Displacement of implnt elec nstim of brain lead, init	2
T85.121A Displacement of implnt elec nstim of prph nrv lead, init	1
T85.128A Displacmnt of implnt electrnc stimultr of nervous sys, init	1
T85.190A Mech compl of implnt elec nstim of brain lead, init	4
T85.190D Mech compl of implnt elec nstim of brain lead, subs	1
T85.191A Mech compl of implnt elec nstim of prph nrv lead, init	2
T85.192A Mech compl of implnt elec nstim of spinal cord lead, init	29
T85.192D Mech compl of implnt elec nstim of spinal cord lead, subs	19
T85.192S Mech compl of implnt elec nstim of spinal cord lead, sequela	9
T85.193A Mech compl of implnt elec nstim, generator, init	7
T85.199A Mech compl of implnt electrnc stimultr of nervous sys, init	8
T85.199S Mech compl of implnt electrnc stimultr of nrv sys, sequela	1
T85.22XA Displacement of intraocular lens, initial encounter	9
T85.22XD Displacement of intraocular lens, subsequent encounter	11
T85.22XS Displacement of intraocular lens, sequela	3
T85.29XA Mech compl of intraocular lens, initial encounter	1
T85.29XS Other mechanical complication of intraocular lens, sequela	1
T85.321A Displacement of prosthetic orbit of left eye, init encntr	1
T85.328A Displacement of ocular prosth dev/grft, init	1
T85.328D Displacement of ocular prosth dev/grft, subs	3
T85.328S Displacement of ocular prosth dev/grft, sequela	1
T85.398A Mech compl of ocular prosth dev/grft, init	9
T85.398D Mech compl of ocular prosth dev/grft, subs	4
T85.41XA Breakdown of breast prosthesis and implant, init	6
T85.41XD Breakdown of breast prosthesis and implant, subs	3
T85.42XA Displacement of breast prosthesis and implant, init encntr	23
T85.42XD Displacement of breast prosthesis and implant, subs encntr	15
T85.43XA Leakage of breast prosthesis and implant, initial encounter	18
T85.43XD Leakage of breast prosthesis and implant, subs encntr	5
T85.43XS Leakage of breast prosthesis and implant, sequela	3
T85.44XA Capsular contracture of breast implant, initial encounter	50
T85.44XD Capsular contracture of breast implant, subsequent encounter	9
T85.44XS Capsular contracture of breast implant, sequela	1
T85.49XA Mech compl of breast prosthesis and implant, init encntr	59
T85.49XD Mech compl of breast prosthesis and implant, subs encntr	28
T85.49XS Mech compl of breast prosthesis and implant, sequela	5
T85.511A Breakdown of esophageal anti-reflux device, init	6
T85.518A Breakdown (mechanical) of GI prosth dev/grft, init	18
T85.518D Breakdown (mechanical) of GI prosth dev/grft, subs	4
T85.520A Displacement of bile duct prosthesis, initial encounter	20
T85.520D Displacement of bile duct prosthesis, subsequent encounter	5
T85.521A Displacement of esophageal anti-reflux device, init encntr	11
T85.521D Displacement of esophageal anti-reflux device, subs encntr	1
T85.521S Displacement of esophageal anti-reflux device, sequela	1
T85.528A Displacement of gastrointestinal prosth dev/grft, init	84
T85.528D Displacement of gastrointestinal prosth dev/grft, subs	15
T85.528S Displacement of gastrointestinal prosth dev/grft, sequela	1
T85.590A Mech compl of bile duct prosthesis, initial encounter	44
T85.590D Mech compl of bile duct prosthesis, subsequent encounter	2
T85.590S Mech compl of bile duct prosthesis, sequela	1
T85.591A Mech compl of esophageal anti-reflux device, init encntr	4
T85.598A Mech compl of gastrointestinal prosth dev/grft, init	130
T85.598D Mech compl of gastrointestinal prosth dev/grft, subs	13
T85.598S Mech compl of gastrointestinal prosth dev/grft, sequela	3
T85.610A Breakdown of cranial or spinal infusion catheter, init	26
T85.610D Breakdown of cranial or spinal infusion catheter, subs	7
T85.610S Breakdown of cranial or spinal infusion catheter, sequela	2
T85.611A Breakdown of intraperitoneal dialysis catheter, init	42
T85.611D Breakdown of intraperitoneal dialysis catheter, subs	5
T85.611S Breakdown of intraperitoneal dialysis catheter, sequela	4
T85.612A Breakdown (mechanical) of permanent sutures, init encntr	2
T85.613A Breakdown of artificial skin grft /decellular alloderm, init	1
T85.614A Breakdown (mechanical) of insulin pump, initial encounter	6
T85.615A Brkdwn other nervous sys device, implant or graft, init	20
T85.615D Brkdwn other nervous sys device, implant or graft, subs	1
T85.618A Breakdown (mechanical) of internal prosth dev/grft, init	126
T85.618D Breakdown (mechanical) of internal prosth dev/grft, subs	33
T85.618S Breakdown (mechanical) of internal prosth dev/grft, sequela	8
T85.620A Displacement of cranial or spinal infusion catheter, init	3
T85.621A Displacement of intraperitoneal dialysis catheter, init	8
T85.622A Displacement of permanent sutures, initial encounter	2
T85.624A Displacement of insulin pump, initial encounter	1
T85.625A Displacmnt of nervous sys device, implant or graft, init	5
T85.628A Displacement of internal prosth dev/grft, init	57
T85.628S Displacement of internal prosth dev/grft, sequela	1
T85.630A Leakage of cranial or spinal infusion catheter, init	2
T85.631A Leakage of intraperitoneal dialysis catheter, init encntr	7
T85.635A Leakage of other nervous sys device, implant or graft, init	1
T85.638A Leakage of internal prosth dev/grft, init	22
T85.638D Leakage of internal prosth dev/grft, subs	5
T85.690A Mech compl of cranial or spinal infusion catheter, init	15
T85.690D Mech compl of cranial or spinal infusion catheter, subs	1
T85.691A Mech compl of intraperitoneal dialysis catheter, init encntr	27
T85.691D Mech compl of intraperitoneal dialysis catheter, subs encntr	5
T85.691S Mech compl of intraperitoneal dialysis catheter, sequela	1
T85.692A Mech compl of permanent sutures, initial encounter	5
T85.692D Mech compl of permanent sutures, subsequent encounter	2
T85.694A Mech compl of insulin pump, initial encounter	19
T85.695A Mech compl of nervous sys device, implant or graft, init	112
T85.695D Mech compl of nervous sys device, implant or graft, subs	7
T85.695S Mech compl of nervous sys device, implant or graft, sequela	84
T85.698A Mech compl of internal prosth dev/grft, init	178
T85.698D Mech compl of internal prosth dev/grft, subs	23
T85.698S Mech compl of internal prosth dev/grft, sequela	91
T85.71XA Infect/inflm reaction due to periton dialysis catheter, init	47
T85.71XD Infect/inflm reaction due to periton dialysis catheter, subs	10
T85.71XS Infect/inflm reaction due to periton dialysis cath, sequela	3
T85.72XA Infect/inflm reaction due to insulin pump, init	5
T85.730A I/I react d/t ventricular intracranial shunt, init	16
T85.730D I/I react d/t ventricular intracranial shunt, subs	6
T85.730S I/I react d/t ventricular intracranial shunt, sequela	1
T85.731A I/I react d/t implnt elec nstim of brain, lead, init	1
T85.732A I/I react d/t implnt elec nstim of prph nrv, lead, init	3
T85.733A I/I react d/t implnt elec nstim of spinal cord, lead, init	4
T85.734A I/I react d/t implnt elec nstim, generator, init	3
T85.735A I/I react d/t cranial or spinal infusion catheter, init	2
T85.738A I/I react d/t other nrv sys device, implnt or graft, init	11
T85.738D I/I react d/t other nrv sys device, implnt or graft, subs	5
T85.738S I/I react d/t other nrv sys device, implnt or graft, sequela	1
T85.79XA Infect/inflm reaction due to oth int prosth dev/grft, init	175
T85.79XD Infect/inflm reaction due to oth int prosth dev/grft, subs	51
T85.79XS Infect/inflm react due to oth int prosth dev/grft, sequela	10
T85.818A Embolism due to other internal prosth dev/grft, init	1
T85.828A Fibrosis due to other internal prosth dev/grft, init	6
T85.82XA Fibrosis due to internal prosth dev/grft, NEC, init	3
T85.830A Hemorrhage due to nervous system prosth dev/grft, init	2
T85.838A Hemorrhage due to other internal prosth dev/grft, init	9
T85.83XA Hemorrhage due to internal prosth dev/grft, NEC, init	2
T85.83XD Hemorrhage due to internal prosth dev/grft, NEC, subs	1
T85.840A Pain due to nervous system prosth dev/grft, init	8
T85.848A Pain due to other internal prosth dev/grft, init	217
T85.848D Pain due to other internal prosth dev/grft, subs	80
T85.848S Pain due to other internal prosth dev/grft, sequela	13
T85.84XA Pain due to internal prosth dev/grft, NEC, init	96
T85.84XD Pain due to internal prosth dev/grft, NEC, subs	23
T85.84XS Pain due to internal prosth dev/grft, NEC, sequela	6
T85.850A Stenosis due to nervous system prosth dev/grft, init	1
T85.858A Stenosis due to other internal prosth dev/grft, init	18
T85.858D Stenosis due to other internal prosth dev/grft, subs	1
T85.858S Stenosis due to other internal prosth dev/grft, sequela	1
T85.85XA Stenosis due to internal prosth dev/grft, NEC, init	3
T85.85XD Stenosis due to internal prosth dev/grft, NEC, subs	4
T85.860A Thrombosis due to nervous system prosth dev/grft, init	2
T85.868A Thrombosis due to other internal prosth dev/grft, init	9
T85.868D Thrombosis due to other internal prosth dev/grft, subs	3
T85.868S Thrombosis due to other internal prosth dev/grft, sequela	2
T85.86XA Thrombosis due to internal prosth dev/grft, NEC, init	2
T85.890A Oth complication of nervous system prosth dev/grft, init	17
T85.890D Oth complication of nervous system prosth dev/grft, subs	2
T85.898A Oth complication of other internal prosth dev/grft, init	206
T85.898D Oth complication of other internal prosth dev/grft, subs	18
T85.898S Oth complication of other internal prosth dev/grft, sequela	3
T85.89XA Oth complication of internal prosth dev/grft, NEC, init	70
T85.89XD Oth complication of internal prosth dev/grft, NEC, subs	11
T85.89XS Oth complication of internal prosth dev/grft, NEC, sequela	4
T85.9XXA Unsp complication of internal prosth dev/grft, init	162
T85.9XXD Unsp complication of internal prosth dev/grft, subs	8
T85.9XXS Unsp complication of internal prosth dev/grft, sequela	5
T86.00 Unspecified complication of bone marrow transplant	2
T86.01 Bone marrow transplant rejection	3
T86.02 Bone marrow transplant failure	1
T86.09 Other complications of bone marrow transplant	16
T86.10 Unspecified complication of kidney transplant	74
T86.11 Kidney transplant rejection	59
T86.12 Kidney transplant failure	93
T86.13 Kidney transplant infection	22
T86.19 Other complication of kidney transplant	130
T86.20 Unspecified complication of heart transplant	1
T86.21 Heart transplant rejection	3
T86.22 Heart transplant failure	1
T86.290 Cardiac allograft vasculopathy	2
T86.298 Other complications of heart transplant	2
T86.40 Unspecified complication of liver transplant	4
T86.41 Liver transplant rejection	7
T86.42 Liver transplant failure	6
T86.43 Liver transplant infection	1
T86.49 Other complications of liver transplant	14
T86.5 Complications of stem cell transplant	3
T86.810 Lung transplant rejection	4
T86.811 Lung transplant failure	1
T86.812 Lung transplant infection	1
T86.818 Other complications of lung transplant	3
T86.819 Unspecified complication of lung transplant	7
T86.821 Skin graft (allograft) (autograft) failure	22
T86.822 Skin graft (allograft) (autograft) infection	11
T86.828 Other complications of skin graft (allograft) (autograft)	28
T86.829 Unsp complication of skin graft (allograft) (autograft)	6
T86.832 Bone graft infection	4
T86.838 Other complications of bone graft	1
T86.839 Unspecified complication of bone graft	1
T86.840 Corneal transplant rejection	1
T86.841 Corneal transplant failure	17
T86.842 Corneal transplant infection	1
T86.849 Unspecified complication of corneal transplant	1
T86.858 Other complications of intestine transplant	1
T86.859 Unspecified complication of intestine transplant	1
T86.890 Other transplanted tissue rejection	7
T86.891 Other transplanted tissue failure	9
T86.898 Other complications of other transplanted tissue	8
T86.899 Unspecified complication of other transplanted tissue	9
T86.90 Unsp complication of unsp transplanted organ and tissue	8
T86.91 Unspecified transplanted organ and tissue rejection	7
T86.92 Unspecified transplanted organ and tissue failure	1
T86.99 Other complications of unsp transplanted organ and tissue	13
T87.30 Neuroma of amputation stump, unspecified extremity	2
T87.33 Neuroma of amputation stump, right lower extremity	3
T87.34 Neuroma of amputation stump, left lower extremity	5
T87.40 Infection of amputation stump, unspecified extremity	15
T87.41 Infection of amputation stump, right upper extremity	3
T87.42 Infection of amputation stump, left upper extremity	8
T87.43 Infection of amputation stump, right lower extremity	36
T87.44 Infection of amputation stump, left lower extremity	45
T87.50 Necrosis of amputation stump, unspecified extremity	2
T87.51 Necrosis of amputation stump, right upper extremity	3
T87.52 Necrosis of amputation stump, left upper extremity	1
T87.53 Necrosis of amputation stump, right lower extremity	15
T87.54 Necrosis of amputation stump, left lower extremity	24
T87.81 Dehiscence of amputation stump	67
T87.89 Other complications of amputation stump	130
T87.9 Unspecified complications of amputation stump	18
T88.0XXA Infection following immunization, initial encounter	6
T88.0XXD Infection following immunization, subsequent encounter	1
T88.1XXA Oth complications following immunization, NEC, init	92
T88.1XXD Oth complications following immunization, NEC, subs	4
T88.1XXS Oth complications following immunization, NEC, sequela	1
T88.2XXA Shock due to anesthesia, initial encounter	3
T88.3XXA Malignant hyperthermia due to anesthesia, initial encounter	2
T88.3XXD Malignant hyperthermia due to anesthesia, subs encntr	1
T88.3XXS Malignant hyperthermia due to anesthesia, sequela	1
T88.4XXA Failed or difficult intubation, initial encounter	28
T88.4XXD Failed or difficult intubation, subsequent encounter	2
T88.4XXS Failed or difficult intubation, sequela	2
T88.51XA Hypothermia following anesthesia, initial encounter	1
T88.51XS Hypothermia following anesthesia, sequela	1
T88.52XA Failed moderate sedation during procedure, initial encounter	1
T88.52XD Failed moderate sedation during procedure, subs encntr	1
T88.59XA Other complications of anesthesia, initial encounter	162
T88.59XD Other complications of anesthesia, subsequent encounter	2
T88.6XXA Anaphyl reaction due to advrs eff drug/med prop admin, init	36
T88.6XXD Anaphyl reaction due to advrs eff drug/med prop admin, subs	3
T88.7XXA Unsp adverse effect of drug or medicament, init encntr	1,196
T88.7XXD Unsp adverse effect of drug or medicament, subs encntr	257
T88.7XXS Unspecified adverse effect of drug or medicament, sequela	102
T88.8XXA Oth complications of surgical and medical care, NEC, init	85
T88.8XXD Oth complications of surgical and medical care, NEC, subs	27
T88.8XXS Oth complications of surgical and medical care, NEC, sequela	9
T88.9XXA Complication of surgical and medical care, unsp, init encntr	16
T88.9XXD Complication of surgical and medical care, unsp, subs encntr	6
T88.9XXS Complication of surgical and medical care, unsp, sequela	6
V00.09XA Ped on foot injured in collision w oth ped convey, init	1
V00.111A Fall from in-line roller-skates, initial encounter	50
V00.111D Fall from in-line roller-skates, subsequent encounter	7
V00.118A Other in-line roller-skate accident, initial encounter	2
V00.118D Other in-line roller-skate accident, subsequent encounter	1
V00.121A Fall from non-in-line roller-skates, initial encounter	26
V00.128A Other non-in-line roller-skating accident, initial encounter	2
V00.131A Fall from skateboard, initial encounter	147
V00.131D Fall from skateboard, subsequent encounter	7
V00.131S Fall from skateboard, sequela	1
V00.132A Skateboarder colliding with stationary object, init encntr	1
V00.138A Other skateboard accident, initial encounter	13
V00.138D Other skateboard accident, subsequent encounter	1
V00.138S Other skateboard accident, sequela	1
V00.141A Fall from scooter (nonmotorized), initial encounter	37
V00.142A Scooter (nonmotorized) colliding w stationary object, init	1
V00.148A Other scooter (nonmotorized) accident, initial encounter	9
V00.181A Fall from oth rolling-type pedestrian conveyance, init	5
V00.188D Oth accident on oth rolling-type pedestrian conveyance, subs	1
V00.211A Fall from ice-skates, initial encounter	26
V00.211D Fall from ice-skates, subsequent encounter	1
V00.211S Fall from ice-skates, sequela	1
V00.218A Other ice-skates accident, initial encounter	1
V00.221A Fall from sled, initial encounter	20
V00.222A Sledder colliding with stationary object, initial encounter	2
V00.228A Other sled accident, initial encounter	3
V00.281A Fall from gliding-type pedestrian conveyance, init encntr	1
V00.311A Fall from snowboard, initial encounter	52
V00.311D Fall from snowboard, subsequent encounter	2
V00.312A Snowboarder colliding with stationary object, init encntr	2
V00.312D Snowboarder colliding with stationary object, subs encntr	1
V00.318A Other snowboard accident, initial encounter	17
V00.318D Other snowboard accident, subsequent encounter	1
V00.318S Other snowboard accident, sequela	2
V00.321A Fall from snow-skis, initial encounter	18
V00.321D Fall from snow-skis, subsequent encounter	1
V00.328A Other snow-ski accident, initial encounter	10
V00.328D Other snow-ski accident, subsequent encounter	1
V00.328S Other snow-ski accident, sequela	1
V00.388A Oth accident on flat-bottomed pedestrian conveyance, init	1
V00.811A Fall from moving wheelchair (powered), initial encounter	4
V00.812A Wheelchair (powered) colliding w stationary object, init	2
V00.812D Wheelchair (powered) colliding w stationary object, subs	1
V00.818A Other accident with wheelchair (powered), initial encounter	2
V00.821A Fall from babystroller, initial encounter	3
V00.831A Fall from motorized mobility scooter, initial encounter	7
V00.831D Fall from motorized mobility scooter, subsequent encounter	1
V00.838A Other accident with motorized mobility scooter, init encntr	3
V00.891A Fall from other pedestrian conveyance, initial encounter	1
V00.891D Fall from other pedestrian conveyance, subsequent encounter	1
V00.892A Ped on oth pedestrian convey colliding w statnry obj, init	1
V00.898A Other accident on other pedestrian conveyance, init encntr	2
V01.00XA Ped on foot injured in collision w pedl cyc nontraf, init	3
V01.00XD Ped on foot injured in collision w pedl cyc nontraf, subs	1
V01.10XA Ped on foot injured in collision w pedl cyc in traf, init	1
V01.92XA Ped on sktbrd injured in collision w pedl cyc, unsp, init	1
V01.99XA Ped w convey injured in collision w pedl cyc, unsp, init	1
V02.09XA Ped w convey injured in collision w 2/3-whl mv nontraf, init	1
V02.10XA Ped on foot injured in collision w 2/3-whl mv in traf, init	1
V02.90XA Ped on foot injured in collision w 2/3-whl mv, unsp, init	1
V02.99XA Ped w convey injured in collision w 2/3-whl mv, unsp, init	1
V03.00XA Ped on foot injured pick-up truck, pk-up/van nontraf, init	50
V03.00XD Ped on foot injured pick-up truck, pk-up/van nontraf, subs	6
V03.09XA Ped w convey injured pick-up truck, pk-up/van nontraf, init	3
V03.10XA Ped on foot injured pick-up truck, pk-up/van in traf, init	36
V03.10XD Ped on foot injured pick-up truck, pk-up/van in traf, subs	5
V03.19XA Ped w convey injured pick-up truck, pk-up/van in traf, init	6
V03.19XD Ped w convey injured pick-up truck, pk-up/van in traf, subs	1
V03.90XA Ped on foot injured pick-up truck, pk-up/van, unsp, init	21
V03.90XD Ped on foot injured pick-up truck, pk-up/van, unsp, subs	3
V03.90XS Ped on foot injured pick-up truck, pk-up/van, unsp, sequela	1
V03.99XA Ped w convey injured pick-up truck, pk-up/van, unsp, init	4
V04.90XA Pedestrian on foot injured in collision w hv veh, unsp, init	1
V05.00XA Ped on foot injured in clsn w rail trn/veh nontraf, init	4
V05.90XA Ped on foot injured in collision w rail trn/veh, unsp, init	1
V05.99XA Ped w convey injured in collision w rail trn/veh, unsp, init	1
V09.00XA Pedestrian injured nontraf involving unsp mv, init	15
V09.00XS Pedestrian injured nontraf involving unsp mv, sequela	1
V09.09XA Pedestrian injured nontraf involving oth mv, init	9
V09.1XXA Pedestrian injured in unsp nontraffic accident, init encntr	6
V09.20XA Pedestrian injured in traf involving unsp mv, init	53
V09.20XD Pedestrian injured in traf involving unsp mv, subs	5
V09.20XS Pedestrian injured in traf involving unsp mv, sequela	2
V09.29XA Pedestrian injured in traf involving oth mv, init	7
V09.3XXA Pedestrian injured in unsp traffic accident, init encntr	10
V09.3XXD Pedestrian injured in unsp traffic accident, subs encntr	2
V09.3XXS Pedestrian injured in unspecified traffic accident, sequela	3
V09.9XXA Pedestrian injured in unsp transport accident, init encntr	41
V09.9XXD Pedestrian injured in unsp transport accident, subs encntr	3
V09.9XXS Pedestrian injured in unsp transport accident, sequela	2
V10.2XXA Unsp pedl cyclst injured in clsn w ped/anml nontraf, init	54
V10.2XXS Unsp pedl cyclst injured in clsn w ped/anml nontraf, sequela	7
V10.3XXA Prsn brd/alit pedl cyc injured in collision w ped/anml, init	1
V10.3XXD Prsn brd/alit pedl cyc injured in collision w ped/anml, subs	1
V10.3XXS Prsn brd/alit pedl cyc injured in clsn w ped/anml, sequela	1
V10.9XXA Unsp pedl cyclst injured in clsn w ped/anml in traf, init	2
V11.0XXA Pedl cyc driver injured in clsn w oth pedl cyc nontraf, init	1
V11.2XXA Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, init	2
V11.2XXD Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, subs	1
V11.4XXD Pedl cyc driver injured in clsn w oth pedl cyc in traf, subs	1
V13.0XXA Pedl cyc driver inj pick-up truck, pk-up/van nontraf, init	10
V13.0XXD Pedl cyc driver inj pick-up truck, pk-up/van nontraf, subs	1
V13.2XXA Unsp pedl cyclst inj pick-up truck, pk-up/van nontraf, init	1
V13.3XXA Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, init	1
V13.4XXA Pedl cyc driver inj pick-up truck, pk-up/van in traf, init	28
V13.4XXD Pedl cyc driver inj pick-up truck, pk-up/van in traf, subs	2
V13.5XXA Pedl cyc pasngr inj pick-up truck, pk-up/van in traf, init	1
V13.9XXA Unsp pedl cyclst inj pick-up truck, pk-up/van in traf, init	15
V13.9XXD Unsp pedl cyclst inj pick-up truck, pk-up/van in traf, subs	1
V14.4XXA Pedl cyc driver injured in collision w hv veh in traf, init	2
V14.4XXD Pedl cyc driver injured in collision w hv veh in traf, subs	1
V17.0XXA Pedl cyc driver inj in clsn w statnry object nontraf, init	10
V17.2XXA Unsp pedl cyclst inj in clsn w statnry object nontraf, init	3
V17.2XXD Unsp pedl cyclst inj in clsn w statnry object nontraf, subs	1
V17.4XXA Pedl cyc driver inj in clsn w statnry object in traf, init	3
V18.0XXA Pedl cyc driver injured in nonclsn trnsp acc nontraf, init	266
V18.0XXD Pedl cyc driver injured in nonclsn trnsp acc nontraf, subs	11
V18.1XXA Pedl cyc pasngr injured in nonclsn trnsp acc nontraf, init	5
V18.2XXA Unsp pedl cyclst injured in nonclsn trnsp acc nontraf, init	50
V18.2XXD Unsp pedl cyclst injured in nonclsn trnsp acc nontraf, subs	1
V18.3XXA Prsn brd/alit pedl cyc injured in nonclsn trnsp acc, init	5
V18.4XXA Pedl cyc driver injured in nonclsn trnsp acc in traf, init	26
V18.9XXA Unsp pedl cyclst injured in nonclsn trnsp acc in traf, init	7
V19.00XA Pedl cyc driver injured in collision w unsp mv nontraf, init	6
